Month,Weekday,Day,Start day,Break Lunch Start,Break Lunch End,End Day
Juin,LUNDI,04/06/2018,09:30:00,12:00:00,13:00:00,18:30:00
Juin,MARDI,05/06/2018,09:00:00,13:00:00,14:00:00,18:30:00
Juin,MERCREDI,06/06/2018,09:30:00,13:00:00,14:00,19:30:00
Juin,JEUDI,07/06/2018,09:30:00,12:00:00,13:00:00,17:30:00
Juin,VENDREDI,08/06/2018,08:30:00,12:00,13:00:00,18:00:00
Juin,SAMEDI,09/06/2018,,,,
Juin,DIMANCHE,10/06/2018,,,,
Juin,LUNDI,11/06/2018,09:00:00,12:00:00,13:00:00,18:00:00
Juin,MARDI,12/06/2018,10:00:00,12:00:00,13:00:00,18:00:00
Juin,MERCREDI,13/06/2018,09:00:00,13:00:00,13:30,19:00:00
Juin,JEUDI,14/06/2018,09:00:00,13:00:00,14:00:00,18:00:00
Juin,VENDREDI,15/06/2018,10:30:00,12:00,13:00:00,17:30:00
Juin,SAMEDI,16/06/2018,,,,
Juin,DIMANCHE,17/06/2018,,,,
Juin,LUNDI,18/06/2018,09:00:00,13:00:00,14:00,18:30:00
Juin,MARDI,19/06/2018,09:00:00,13:00:00,14:00:00,16:00:00
Juin,MERCREDI,20/06/2018,09:30:00,13:00:00,14:00:00,18:00:00
Juin,JEUDI,21/06/2018,09:00:00,12:00:00,13:00:00,20:00:00
Juin,VENDREDI,22/06/2018,09:00:00,12:30:00,14:00:00,18:30:00
Juin,SAMEDI,23/06/2018,,,,
Juin,DIMANCHE,24/06/2018,,,,
Juin,LUNDI,25/06/2018,09:00:00,12:00,13:00:00,18:30:00
Juin,MARDI,26/06/2018,09:00,12:00:00,13:00:00,18:00:00
Juin,MERCREDI,27/06/2018,09:00,12:00:00,13:00:00,20:00:00
Juin,JEUDI,28/06/2018,09:00,13:00:00,14:00:00,18:00:00
Juin,VENDREDI,29/06/2018,08:30,12:00:00,13:00:00,18:00
Juin,SAMEDI,30/06/2018,,,,
Juillet,DIMANCHE,01/07/2018,,,,